committee_name,handle,total_videos,missing_event_id,congress_number,control,chamber
Agriculture,@HouseAgDems,0,0,106,Republican,house
Agriculture,@HouseAgDems,0,0,107,Republican,house
Agriculture,@HouseAgDems,0,0,108,Republican,house
Agriculture,@HouseAgDems,0,0,109,Republican,house
Agriculture,@HouseAgDems,0,0,110,Democratic,house
Agriculture,@HouseAgDems,0,0,111,Democratic,house
Agriculture,@HouseAgDems,0,0,112,Republican,house
Agriculture,@HouseAgDems,0,0,113,Republican,house
Agriculture,@HouseAgDems,0,0,114,Republican,house
Agriculture,@HouseAgDems,0,0,115,Republican,house
Agriculture,@HouseAgDems,43,8,116,Democratic,house
Agriculture,@HouseAgDems,77,71,117,Democratic,house
Agriculture,@HouseAgDems,30,30,118,Republican,house
Agriculture,@HouseAgDems,42,42,119,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,106,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,107,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,108,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,109,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,110,Democratic,house
Appropriations,@HouseAppropriationsCommittee,0,0,111,Democratic,house
Appropriations,@HouseAppropriationsCommittee,0,0,112,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,113,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,114,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,115,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,116,Democratic,house
Appropriations,@HouseAppropriationsCommittee,0,0,117,Democratic,house
Appropriations,@HouseAppropriationsCommittee,0,0,118,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,119,Republican,house
