committee_name,handle,total_videos,missing_event_id,congress_number,control,chamber
Agriculture,@AgRepublicans,0,0,106,Republican,house
Agriculture,@AgRepublicans,0,0,107,Republican,house
Agriculture,@AgRepublicans,0,0,108,Republican,house
Agriculture,@AgRepublicans,0,0,109,Republican,house
Agriculture,@AgRepublicans,0,0,110,Democratic,house
Agriculture,@AgRepublicans,13,13,111,Democratic,house
Agriculture,@AgRepublicans,19,19,112,Republican,house
Agriculture,@AgRepublicans,8,8,113,Republican,house
Agriculture,@AgRepublicans,114,114,114,Republican,house
Agriculture,@AgRepublicans,182,182,115,Republican,house
Agriculture,@AgRepublicans,57,57,116,Democratic,house
Agriculture,@AgRepublicans,89,89,117,Democratic,house
Agriculture,@AgRepublicans,41,41,118,Republican,house
Agriculture,@AgRepublicans,19,19,119,Republican,house
Agriculture,@HouseAgDems,0,0,106,Republican,house
Agriculture,@HouseAgDems,0,0,107,Republican,house
Agriculture,@HouseAgDems,0,0,108,Republican,house
Agriculture,@HouseAgDems,0,0,109,Republican,house
Agriculture,@HouseAgDems,0,0,110,Democratic,house
Agriculture,@HouseAgDems,0,0,111,Democratic,house
Agriculture,@HouseAgDems,0,0,112,Republican,house
Agriculture,@HouseAgDems,0,0,113,Republican,house
Agriculture,@HouseAgDems,0,0,114,Republican,house
Agriculture,@HouseAgDems,0,0,115,Republican,house
Agriculture,@HouseAgDems,43,8,116,Democratic,house
Agriculture,@HouseAgDems,77,71,117,Democratic,house
Agriculture,@HouseAgDems,30,30,118,Republican,house
Agriculture,@HouseAgDems,23,23,119,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,106,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,107,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,108,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,109,Republican,house
Appropriations,@HouseAppropriationsCommittee,0,0,110,Democratic,house
Appropriations,@HouseAppropriationsCommittee,0,0,111,Democratic,house
Appropriations,@HouseAppropriationsCommittee,24,24,112,Republican,house
Appropriations,@HouseAppropriationsCommittee,119,30,113,Republican,house
Appropriations,@HouseAppropriationsCommittee,327,43,114,Republican,house
Appropriations,@HouseAppropriationsCommittee,206,8,115,Republican,house
Appropriations,@HouseAppropriationsCommittee,273,12,116,Democratic,house
Appropriations,@HouseAppropriationsCommittee,230,2,117,Democratic,house
Appropriations,@HouseAppropriationsCommittee,218,32,118,Republican,house
Appropriations,@HouseAppropriationsCommittee,96,2,119,Republican,house
Armed Services,@HouseArmedServices,0,0,106,Republican,house
Armed Services,@HouseArmedServices,0,0,107,Republican,house
Armed Services,@HouseArmedServices,0,0,108,Republican,house
Armed Services,@HouseArmedServices,0,0,109,Republican,house
Armed Services,@HouseArmedServices,0,0,110,Democratic,house
Armed Services,@HouseArmedServices,0,0,111,Democratic,house
Armed Services,@HouseArmedServices,0,0,112,Republican,house
Armed Services,@HouseArmedServices,0,0,113,Republican,house
Armed Services,@HouseArmedServices,193,2,114,Republican,house
Armed Services,@HouseArmedServices,139,2,115,Republican,house
Armed Services,@HouseArmedServices,113,4,116,Democratic,house
Armed Services,@HouseArmedServices,121,0,117,Democratic,house
Armed Services,@HouseArmedServices,103,2,118,Republican,house
Armed Services,@HouseArmedServices,41,2,119,Republican,house
Budget,@HouseBudgetGOP,0,0,106,Republican,house
Budget,@HouseBudgetGOP,0,0,107,Republican,house
Budget,@HouseBudgetGOP,0,0,108,Republican,house
Budget,@HouseBudgetGOP,0,0,109,Republican,house
Budget,@HouseBudgetGOP,0,0,110,Democratic,house
Budget,@HouseBudgetGOP,43,43,111,Democratic,house
Budget,@HouseBudgetGOP,202,172,112,Republican,house
Budget,@HouseBudgetGOP,16,15,113,Republican,house
Budget,@HouseBudgetGOP,94,9,114,Republican,house
Budget,@HouseBudgetGOP,21,6,115,Republican,house
Budget,@HouseBudgetGOP,10,10,116,Democratic,house
Budget,@HouseBudgetGOP,26,26,117,Democratic,house
Budget,@HouseBudgetGOP,100,100,118,Republican,house
Budget,@HouseBudgetGOP,79,79,119,Republican,house
Budget,@HouseBudgetDems,0,0,106,Republican,house
Budget,@HouseBudgetDems,0,0,107,Republican,house
Budget,@HouseBudgetDems,0,0,108,Republican,house
Budget,@HouseBudgetDems,0,0,109,Republican,house
Budget,@HouseBudgetDems,0,0,110,Democratic,house
Budget,@HouseBudgetDems,71,71,111,Democratic,house
Budget,@HouseBudgetDems,128,128,112,Republican,house
Budget,@HouseBudgetDems,5,5,113,Republican,house
Budget,@HouseBudgetDems,0,0,114,Republican,house
Budget,@HouseBudgetDems,50,50,115,Republican,house
Budget,@HouseBudgetDems,122,91,116,Democratic,house
Budget,@HouseBudgetDems,76,66,117,Democratic,house
Budget,@HouseBudgetDems,56,36,118,Republican,house
Budget,@HouseBudgetDems,18,18,119,Republican,house
Education & Workforce,@EdWorkforceCmte,0,0,106,Republican,house
Education & Workforce,@EdWorkforceCmte,0,0,107,Republican,house
Education & Workforce,@EdWorkforceCmte,0,0,108,Republican,house
Education & Workforce,@EdWorkforceCmte,0,0,109,Republican,house
Education & Workforce,@EdWorkforceCmte,68,68,110,Democratic,house
Education & Workforce,@EdWorkforceCmte,120,120,111,Democratic,house
Education & Workforce,@EdWorkforceCmte,158,135,112,Republican,house
Education & Workforce,@EdWorkforceCmte,89,88,113,Republican,house
Education & Workforce,@EdWorkforceCmte,104,104,114,Republican,house
Education & Workforce,@EdWorkforceCmte,118,118,115,Republican,house
Education & Workforce,@EdWorkforceCmte,82,82,116,Democratic,house
Education & Workforce,@EdWorkforceCmte,90,90,117,Democratic,house
Education & Workforce,@EdWorkforceCmte,152,151,118,Republican,house
Education & Workforce,@EdWorkforceCmte,38,38,119,Republican,house
Energy & Commerce,@energyandcommerce,0,0,106,Republican,house
Energy & Commerce,@energyandcommerce,0,0,107,Republican,house
Energy & Commerce,@energyandcommerce,0,0,108,Republican,house
Energy & Commerce,@energyandcommerce,0,0,109,Republican,house
Energy & Commerce,@energyandcommerce,0,0,110,Democratic,house
Energy & Commerce,@energyandcommerce,78,78,111,Democratic,house
Energy & Commerce,@energyandcommerce,504,503,112,Republican,house
Energy & Commerce,@energyandcommerce,528,528,113,Republican,house
Energy & Commerce,@energyandcommerce,433,432,114,Republican,house
Energy & Commerce,@energyandcommerce,283,282,115,Republican,house
Energy & Commerce,@energyandcommerce,224,224,116,Democratic,house
Energy & Commerce,@energyandcommerce,146,146,117,Democratic,house
Energy & Commerce,@energyandcommerce,574,574,118,Republican,house
Energy & Commerce,@energyandcommerce,137,137,119,Republican,house
Financial Services,@USHouseFSC,0,0,106,Republican,house
Financial Services,@USHouseFSC,0,0,107,Republican,house
Financial Services,@USHouseFSC,0,0,108,Republican,house
Financial Services,@USHouseFSC,0,0,109,Republican,house
Financial Services,@USHouseFSC,0,0,110,Democratic,house
Financial Services,@USHouseFSC,0,0,111,Democratic,house
Financial Services,@USHouseFSC,0,0,112,Republican,house
Financial Services,@USHouseFSC,37,37,113,Republican,house
Financial Services,@USHouseFSC,16,16,114,Republican,house
Financial Services,@USHouseFSC,32,32,115,Republican,house
Financial Services,@USHouseFSC,182,38,116,Democratic,house
Financial Services,@USHouseFSC,143,10,117,Democratic,house
Financial Services,@USHouseFSC,139,10,118,Republican,house
Financial Services,@USHouseFSC,118,53,119,Republican,house
Financial Services,@GOPFinancialServices,0,0,106,Republican,house
Financial Services,@GOPFinancialServices,0,0,107,Republican,house
Financial Services,@GOPFinancialServices,0,0,108,Republican,house
Financial Services,@GOPFinancialServices,0,0,109,Republican,house
Financial Services,@GOPFinancialServices,0,0,110,Democratic,house
Financial Services,@GOPFinancialServices,346,346,111,Democratic,house
Financial Services,@GOPFinancialServices,340,282,112,Republican,house
Financial Services,@GOPFinancialServices,121,120,113,Republican,house
Financial Services,@GOPFinancialServices,380,111,114,Republican,house
Financial Services,@GOPFinancialServices,259,94,115,Republican,house
Financial Services,@GOPFinancialServices,189,189,116,Democratic,house
Financial Services,@GOPFinancialServices,96,96,117,Democratic,house
Financial Services,@GOPFinancialServices,490,490,118,Republican,house
Financial Services,@GOPFinancialServices,70,70,119,Republican,house
Foreign Affairs,@houseforeign,0,0,106,Republican,house
Foreign Affairs,@houseforeign,0,0,107,Republican,house
Foreign Affairs,@houseforeign,0,0,108,Republican,house
Foreign Affairs,@houseforeign,0,0,109,Republican,house
Foreign Affairs,@houseforeign,0,0,110,Democratic,house
Foreign Affairs,@houseforeign,0,0,111,Democratic,house
Foreign Affairs,@houseforeign,0,0,112,Republican,house
Foreign Affairs,@houseforeign,64,64,113,Republican,house
Foreign Affairs,@houseforeign,152,152,114,Republican,house
Foreign Affairs,@houseforeign,275,275,115,Republican,house
Foreign Affairs,@houseforeign,279,227,116,Democratic,house
Foreign Affairs,@houseforeign,178,178,117,Democratic,house
Foreign Affairs,@houseforeign,135,135,118,Republican,house
Foreign Affairs,@houseforeign,61,61,119,Republican,house
Foreign Affairs,@HouseForeignGOP,0,0,106,Republican,house
Foreign Affairs,@HouseForeignGOP,0,0,107,Republican,house
Foreign Affairs,@HouseForeignGOP,0,0,108,Republican,house
Foreign Affairs,@HouseForeignGOP,0,0,109,Republican,house
