Committee Name,handle,secondary
Agriculture,@AgRepublicans,@HouseAgDems
Appropriations,@HouseAppropriationsCommittee,
Armed Services,@HouseArmedServices,
Budget,@HouseBudgetGOP,@HouseBudgetDems
Education & Workforce,@EdWorkforceCmte,
Energy & Commerce,@energyandcommerce,
Financial Services,@USHouseFSC,@GOPFinancialServices
Foreign Affairs,@houseforeign,@HouseForeignGOP
Homeland Security,@HouseHomeland,
House Administration,@CommitteeonHouseAdministration,
Judiciary,@USHouseJudiciaryGOP,@JudiciaryDems
Natural Resources,@NaturalResourcesGOP,@NaturalResourcesDems
Oversight and Government Reform,@OversightandGovernmentReform,
Rules,@HouseRulesCommittee,
"Science, Space, and Technology",@housescience,
Small Business,@HouseSmallBiz,
Veterans' Affairs,@HouseVeteransAffairs,
Ways and Means,@WaysandMeansCommittee,
